Strain, Type, Content 
White Lavender, hybrid, THC 19% 
CBD Dancehall, sativa, THC 9% / CBD 15% 
Sugar Kush, indica, THC 20% 
Big Mac, indica, THC 0% 
Cali Jack, indica, THC 20% 
Mother of Berries, indica, THC 24% 
White Dawg, hybrid, THC 20% 
Berry Larry, indica, THC 22% 
Sour Power, sativa, THC 29% 
Barbara Bud, indica, THC 19% 
Burnt Cookies, hybrid, THC 24% 
Captain America OG, hybrid, THC 25% / CBD 1% 
Future, hybrid, THC 24% 
Green Haze, sativa, THC 28% 
Good Medicine, sativa, THC 8% / CBD 9% 
Georgia Pine, hybrid, THC 20% 
Kid N Kookies, indica, THC 22% 
Yogi Diesel, sativa, THC 25% 
Flo Walker, indica, THC 18% 
Tweed CBD, hybrid, THC 0% 
Donegal, sativa, THC 19% 
Big Holy Nina, sativa, THC 15% 
StarRyder, indica, THC 19% 
Gravity, hybrid, THC 20% / CBD 1% 
Green Avenger, hybrid, THC 22% 
Chocolope Kush, indica, THC 20% 
Purple Star, indica, THC 13% 
Ghost Ship, indica, THC 20% 
Fire Alien Kush, hybrid, THC 20% 
Houndstooth, sativa, THC 20% 
Dream Beaver, sativa, THC 26% 
Pineapple Super Silver Haze, sativa, THC 23% 
Isla OG, hybrid, THC 27% 
Ancient Kush, indica, THC 21% 
Xanadu, sativa, THC 18% 
Blue Wreck, hybrid, THC 24% 
Django, hybrid, THC 17% / CBD 2% 
Baker's Delight, indica, THC 20% 
Blowfish, indica, THC 26% 
Sour Banana Sherbet, hybrid, THC 24% 
Frisian Dew, hybrid, THC 17% 
Venom OG, hybrid, THC 27% 
Black Betty, hybrid, THC 26% / CBD 4% 
Professor Chaos, sativa, THC 25% 
Pez, indica, THC 27% 
Orange Cookies, indica, THC 20% 
Tangie Biscotti, hybrid, THC 32% / CBD 1% 
Jolly Rancher, hybrid, THC 20% 
Starry Night, hybrid, THC 25% 
Super Glue, indica, THC 28% 
Purple Cream, hybrid, THC 24% 
Dr. Who, hybrid, THC 30% 
Captain's Cake, indica, THC 24% / CBD 15% 
Glass Apple, sativa, THC 23% 
Mochi, sativa, THC 29% 
Grandpa's Breath, indica, THC 20% 
Ingrid, indica, THC 25% 
Burkle, indica, THC 27% 
Sour Apple, indica, THC 27% 
Aloha, sativa, THC 24% 
Patti Cake, hybrid, THC 23% 
Chocolate Thai, sativa, THC 15% 
Pre-98 Bubba Kush, indica, THC 28% 
Ogre Kush, indica, THC 27% 
Cookies and Cream, hybrid, THC 25% 
Bubblegum Kush, indica, THC 23% 
Triangle Kush, indica, THC 26% 
Mendo Breath, indica, THC 20% 
Great White Shark, indica, THC 24% 
XJ-13, hybrid, THC 24% 
Lodi Dodi, sativa, THC 28% 
Platinum OG, indica, THC 24% 
Snoop's Dream, hybrid, THC 25% 
God's Green Crack, hybrid, THC 25% 
Platinum Girl Scout Cookies, indica, THC 24% 
Greek Kalamata, sativa, THC 0% 
Nerds, hybrid, THC 17% 
Gorilla Cookies, sativa, THC 19% 
Cherry Kush, indica, THC 18% 
Blue Magic, hybrid, THC 23% 
Star Killer, indica, THC 29% 
Wonder Woman, sativa, THC 20% 
Incredible Hulk, sativa, THC 24% 
Romulan, indica, THC 20% 
Mako Haze, sativa, THC 21% 
Citrus Sap, sativa, THC 24% 
Molokai Frost, sativa, THC 26% 
Pandora's Box, sativa, THC 19% 
SAGE, sativa, THC 25% 
Purple Diesel, sativa, THC 21% 
Mango, hybrid, THC 24% 
OGKB, indica, THC 25% 
Old Toby, indica, THC 18% / CBD 10% 
Grapefruit Kush, indica, THC 22% / CBD 1% 
Chronic, sativa, THC 20% / CBD 3% 
Blue God, indica, THC 20% 
Hardcore OG, indica, THC 28% 
Super Jack, sativa, THC 24% 
Bio Jesus, hybrid, THC 30% 
White Castle, indica, THC 19% 
Somango, indica, THC 23% 
GMO Cookies, indica, THC 33% 
Strawberry Diesel, hybrid, THC 27% 
C. Banana, hybrid, THC 34% 
Cherry Kola, indica, THC 25% 
Hawaiian Punch, sativa, THC 25% 
Platinum Kush, indica, THC 17% 
Recon, indica, THC 23% 
G-13, indica, THC 27% 
Tutti Frutti, hybrid, THC 23% 
Lifesaver, hybrid, THC 21% 
Lucid Dream, sativa, THC 28% 
Early Girl, indica, THC 20% 
Haole, indica, THC 17% 
West OG, indica, THC 22% 
White Zombie, indica, THC 19% 
The Blood, sativa, THC 26% 
Trident, hybrid, THC 6% / CBD 15% 
Atomic Goat, hybrid, THC 21% 
Sweet Diesel, sativa, THC 18% 
Truth Serum, hybrid, THC 22% 
Big Sky OG, hybrid, THC 17% / CBD 1% 
The Sheriff, hybrid, THC 19% 
Blaze, sativa, THC 20% 
Alaska, sativa, THC 31% 
Alien Reunion, hybrid, THC 28% 
White OG, hybrid, THC 24% 
B-52, indica, THC 18% 
Afghan Skunk, indica, THC 18% 
Blockhead, indica, THC 23% 
Tokyo OG, indica, THC 24% 
White Fire 43, indica, THC 30% / CBD 5% 
Aberdeen, sativa, THC 15% 
Madness, hybrid, THC 18% 
Dream Berry, indica, THC 20% 
Chronic Thunder, indica, THC 20% 
Dream Machine, indica, THC 19% / CBD 2% 
Blue Hash, indica, THC 19% / CBD 1% 
Orange Velvet, hybrid, THC 22% 
Sour Alien, sativa, THC 16% 
Sapphire Star, hybrid, THC 24% 
Shaman, sativa, THC 18% 
Cookies and Dream, sativa, THC 24% 
Walker Kush, indica, THC 20% 
Alpha OG, indica, THC 24% 
Batman OG, indica, THC 25% 
Glue Tech, indica, THC 24% 
Fifth Element, indica, THC 22% 
Urban Poison, sativa, THC 25% 
Jack Diesel, sativa, THC 23% 
Pineapple Diesel, hybrid, THC 18% 
Space Candy, hybrid, THC 22% 
Mickey Kush, sativa, THC 25% 
Blues, sativa, THC 16% 
Electric Lemon G, sativa, THC 21% 
Suzy Q, hybrid, THC 1% / CBD 25% 
Butterscotch, hybrid, THC 21% / CBD 2% 
Hawaiian, sativa, THC 25% / CBD 1% 
I-95, hybrid, THC 24% 
K1, sativa, THC 16% 
White Dream, hybrid, THC 24% 
Green Kush, hybrid, THC 24% 
Blue Monster, indica, THC 23% 
Agent Tangie, sativa, THC 18% 
Obsession, indica, THC 19% 
Selene, hybrid, THC 22% 
Jorge's Diamonds #1, indica, THC 18% 
Cannalope Kush, sativa, THC 22% 
Mazar, indica, THC 20% 
Sirius Black, indica, THC 25% 
Sour Bubba, sativa, THC 31% 
Full Moon, sativa, THC 24% 
Jack Flash, indica, THC 20% 
Area 51, hybrid, THC 23% 
In The Pines, sativa, THC 7% / CBD 12% 
Strawberry Fields, indica, THC 24% / CBD 1% 
White Queen, indica, THC 25% 
Moonshine Haze, sativa, THC 25% 
Pink Panties, indica, THC 24% 
Red Cherry Berry, hybrid, THC 22% / CBD 1% 
Sour Pebbles, hybrid, THC 25% 
Supernatural, sativa, THC 22% 
Alpha Cow, sativa, THC 22% 
Big Sur Holy Bud, sativa, THC 26% 
Mega Jackpot, sativa, THC 25% 
Hong Kong, hybrid, THC 25% 
Royal Dutch, hybrid, THC 21% 
Black Cherry Cheesecake, indica, THC 24% 
Green Goddess, indica, THC 20% 
Crown OG, indica, THC 28% 
Pink Champagne, indica, THC 23% 
Triple Diesel, hybrid, THC 22% 
Blueberry Cheesecake, sativa, THC 20% 
P-91, hybrid, THC 20% 
Wonder Haze, sativa, THC 22% 
Sublime, sativa, THC 26% 
Swiss Gold, indica, THC 7% / CBD 7% 
The Doctor, indica, THC 23% 
Sour Haze, sativa, THC 26% 
Blue Jay Way, hybrid, THC 8% / CBD 16% 
Blue Power, indica, THC 27% 
Alien Rock Candy, indica, THC 18% 
Whitaker Blues, indica, THC 28% 
Cannasutra, indica, THC 23% 
Golden Ticket, hybrid, THC 26% 
Lemon Kush, hybrid, THC 26% / CBD 6% 
SFV OG Kush, indica, THC 19% 
Jack the Ripper, sativa, THC 17% 
Lavender, indica, THC 20% / CBD 1% 
Querkle, indica, THC 35% 
Death Star, indica, THC 26% 
Mendocino Purps, indica, THC 20% 
Trinity, sativa, THC 20% 
Blueberry Kush, indica, THC 24% 
Ghost Train Haze, sativa, THC 25% 
Grape Ape, indica, THC 25% 
Super Lemon Haze, sativa, THC 25% 
Blackberry Kush, indica, THC 20% 
Grease Monkey, hybrid, THC 30% 
Zkittlez, indica, THC 23% 
Trump OG, indica, THC 20% 
Purple Punch, indica, THC 20% / CBD 1% 
Casey Jones, sativa, THC 22% 
Purple Haze, sativa, THC 20% 
Purple Urkle, indica, THC 26% 
Master Kush, indica, THC 20% 
Thin Mint Cookies, hybrid, THC 24% 
Golden Goat, sativa, THC 23% / CBD 1% 
Papaya, indica, THC 25% 
French Toast, hybrid, THC 0% 
840, hybrid, THC 0% 
Blue Moonshine, indica, THC 16% 
Blackberry x Blueberry, indica, THC 19% 
Double Tap, indica, THC 24% 
Platinum Purple Kush, indica, THC 23% 
Swiss Sativa, sativa, THC 10% 
Paris XXX, indica, THC 24% 
Cherry Thunder Fuck, indica, THC 26% 
Brain Candy, hybrid, THC 23% 
Jenni, sativa, THC 11% 
Blackberry Trainwreck, hybrid, THC 20% 
California Limes, sativa, THC 25% 
Hercules, sativa, THC 21% 
Grand Poobah, indica, THC 22% 
Bubba Fresh, indica, THC 23% 
Blueberry Space Cake, indica, THC 0% 
Shark Bite, hybrid, THC 24% / CBD 1% 
Harmony, hybrid, THC 16% 
Supernova, indica, THC 25% 
Rebel Berry OG, sativa, THC 15% 
Lemon Bananas, hybrid, THC 27% 
White Walker Kush, indica, THC 22% 
Jack 47, sativa, THC 24% / CBD 2% 
ICED Grapefruit, sativa, THC 24% 
Purple Animal Cookies, indica,  
Grapefruit Haze, hybrid, THC 25% 
Black Label, hybrid, THC 24% 
Black Raspberry, indica, THC 24% 
Blue Fire, indica, THC 24% 
Fruity Widow, indica, THC 20% 
Burning Desire, hybrid, THC 22% 
Cadillac Cookies, indica,  
Cali Dragon, indica, THC 29% 
California Orange Cheese, indica,  
KT Dawg, hybrid, THC 15% 
Candy Apple, sativa, THC 22% 
Chardonnay, indica, THC 1% / CBD 15% 
Caramel Cake, sativa, THC 20% 
Galactica OG, indica, THC 25% 
Cheese Dawg, indica, THC 23% 
Chem Berry Diesel, sativa, THC 32% 
Chem Cookies, indica, THC 30% 
Sister Glue, indica, THC 30% / CBD 2% 
Skunk+, indica, THC 16% 
Sky Lotus, indica, THC 30% 
Sky Master, sativa, THC 31% / CBD 1% 
Cherry Fuel, indica,  
Super Cat Piss, sativa, THC 18% 
Nordle, hybrid, THC 8% / CBD 8% 
NightFire OG, sativa, THC 23% 
8 Miles High, sativa, THC 23% 
Orange Durban, sativa, THC 20% 
Cluster Bomb, hybrid, THC 20% 
Lemon OG Haze, sativa, THC 16% / CBD 2% 
Southern Lights, sativa, THC 25% 
Lemon Alien Dawg, indica, THC 17% 
Longbottom Leaf, sativa, THC 24% / CBD 1% 
Orange Snow Cone, sativa, THC 0% 
Lemonberry, sativa, THC 22% / CBD 1% 
Pan Jam, sativa, THC 0% 
Peachy Mack, sativa, THC 0% 
Silver Back, indica, THC 23% 
Ultra Sonja, sativa, THC 22% 
Northernberry, hybrid, THC 17% 
Ocean View, sativa, THC 16% 
Kush Cleaner, hybrid, THC 26% 
OG Wreck, sativa, THC 18% 
Pineapple Trainwreck, sativa, THC 22% 
Ripped Bubba, indica, THC 26% 
OG's Pearl, indica, THC 26% 
Palm Tree CBD, indica, THC 13% / CBD 13% 
Snow Monster, indica, THC 25% 
Poison Haze, sativa, THC 24% 
Sour Poison, sativa, THC 26% 
Chem's Sister, sativa, THC 28% 
Q3, hybrid, THC 24% 
Terminator OG, indica, THC 24% 
The Sister, indica, THC 21% 
Purple Maui, sativa, THC 22% 
Nicole Kush, indica, THC 25% 
Russian Rocket Fuel, indica, THC 29% 
Summertime Squeeze, sativa, THC 17% 
Quick One, indica, THC 13% 
Purple Dragon, sativa, THC 20% 
Connie Chung, indica, THC 24% 
Four Cups, indica, THC 0% 
Sunshine #4, hybrid, THC 31% 
Four Star General, indica, THC 30% 
Royal Cheese, indica, THC 16% 
Organic Diesel, sativa, THC 28% 
Neil Haze, sativa, THC 20% 
Ultraviolet, sativa, THC 21% 
1024, sativa, THC 25% / CBD 4% 
3 Bears OG, indica, THC 0% 
Super Snow Dog, hybrid, THC 21% 
Purple Jolly Rancher, indica, THC 17% 
Purple Bud, indica, THC 20% 
Redd Cross, hybrid, THC 20% / CBD 8% 
Monster OG, indica, THC 26% 
Nepalese Jam, sativa, THC 18% 
Legendary Lemon, sativa, THC 22% 
Alpine Blue, sativa, THC 17% 
98 White Widow, indica, THC 20% 
Chemdawg 91, hybrid, THC 24% 
Blue Ivy, indica, THC 20% 
Irene Kush, sativa, THC 22% 
Fruit Crusher, hybrid, THC 26% 
Blueberry Muffins, indica, THC 19% 
Wet Dream, sativa, THC 22% 
Pineapple Jack, hybrid, THC 20% 
White Berry, indica, THC 22% 
Kimbo Kush, indica, THC 27% 
Pineapple OG, sativa, THC 26% 
Wappa, indica, THC 22% 
Original Glue, indica, THC 30% 
Snowland, indica, THC 27% 
Purple Gorilla, indica, THC 21% 
Carl Sagan, sativa, THC 22% 
Love Potion #9, indica, THC 26% 
Green Love Potion, indica, THC 24% 
Sweet Cheese, sativa, THC 21% 
Black Velvet, hybrid, THC 20% 
Birds Eye, hybrid, THC 25% 
Enigma, sativa, THC 24% 
Seattle Blue, hybrid, THC 20% 
Jack Haze, hybrid, THC 22% 
Hippie Chicken, sativa, THC 23% 
Asian Fantasy, sativa, THC 24% 
Chocolate Tonic, sativa, THC 18% / CBD 18% 
Double OG, indica, THC 26% 
The Sauce, sativa, THC 28% 
Harry Potter, hybrid, THC 17% 
Lemon Marmalade, hybrid, THC 27% 
Rogue Thunder, hybrid, THC 15% 
Cabbage Patch, hybrid, THC 27% 
Panda OG, sativa, THC 25% 
Strawberry Blue, sativa, THC 20% 
Tora Bora, indica, THC 22% 
Azure Haze, indica, THC 20% 
Dreamer's Glass, sativa, THC 22% 
Light of Jah, sativa, THC 26% 
Pineapple Punch, sativa, THC 15% 
Rug Burn OG, indica, THC 26% 
THC Bomb, hybrid, THC 26% 
LA OG, hybrid, THC 24% 
Ice Wreck, hybrid, THC 28% 
Herojuana, indica, THC 29% 
Syrup OG, indica, THC 30% 
Zombie OG, indica, THC 21% / CBD 0% 
Grape Stomper, sativa, THC 22% / CBD 1% 
U Pink Kush, indica, THC 18% 
Nepali OG, indica, THC 21% / CBD 0% 
Blueberry Pie, hybrid, THC 20% 
Tres Dawg, hybrid, THC 25% / CBD 1% 
Painkiller, indica, THC 18% 
Chemdawg 4, indica, THC 28% 
Star Berry, indica, THC 20% 
Jean Guy, sativa, THC 25% 
Sonoma Coma, sativa, THC 25% 
White Russian, hybrid, THC 22% 
Juicy Fruit, sativa, THC 20% 
Mr. Nice, indica, THC 20% 
Blueberry Skunk, indica, THC 22% 
El Nino, indica, THC 15% / CBD 1% 
Arcata Trainwreck, sativa, THC 26% / CBD 0% 
Blackwater, indica, THC 20% 
Headbanger, sativa, THC 28% 
Cookie Jar, indica, THC 24% 
Grape Drink, indica, THC 23% 
Grape Soda, indica, THC 30% 
Malawi, sativa, THC 24% 
Middlefork, sativa, THC 26% 
Jack's Dream, sativa, THC 15% 
Honduras, sativa, THC 13% 
GTO, hybrid,  
Karma OG, indica, THC 28% 
Green Line OG, hybrid, THC 29% 
Jimi Hendrix, hybrid, THC 17% 
Serious 6, hybrid, THC 17% 
Pink Pez, hybrid, THC 23% 
Colorado Chem, hybrid, THC 22% 
Crown Royale, indica, THC 22% 
Gummy Bears, hybrid,  
Dream Lotus, hybrid, THC 21% 
Holy Ghost, hybrid, THC 28% 
Jamaican Lion, hybrid, THC 18% / CBD 18% 
Hawaiian Delight, hybrid, THC 20% 
Hades Haze, indica, THC 20% 
Rene, sativa, THC 18% 
Grape Cookies, indica, THC 24% 
Hammerhead, indica, THC 25% / CBD 2% 
Key Lime Haze, indica, THC 23% 
X Files, hybrid, THC 22% 
Killer Grape, hybrid, THC 20% 
Kobain Kush, indica, THC 24% 
Kraken, indica, THC 15% 
Stardawg Guava, sativa, THC 26% 
Blue Puff, sativa, THC 23% 
Bubble Bomb, indica, THC 20% 
Serious Happiness, hybrid, THC 19% / CBD 1% 
Shining Silver Haze, sativa, THC 21% 
The Wife, hybrid, THC 1% / CBD 20% 
Strawberry Amnesia, sativa, THC 22% 
Strawberry Satori, sativa, THC 23% 
Supermax OG, indica, THC 23% 
Tahoe Hydro OG, indica, THC 30% 
Tangilope, sativa, THC 22% 
The Grunk, sativa, THC 24% 
El Perro, hybrid, THC 20% / CBD 1% 
Air Jordan OG, indica, THC 20% 
Thelonious Skunk, sativa, THC 23% 
Keystone Kush, indica, THC 0% 
Allen Wrench, sativa, THC 28% 
TJ's CBD, hybrid, THC 8% / CBD 12% 
Ghost Rider OG, hybrid, THC 22% 
Bloo's Kloos, indica, THC 17% / CBD 5% 
Blue Afghani, indica, THC 19% / CBD 1% 
Blueberry AK, sativa, THC 20% / CBD 1% 
Blueberry Essence, indica, THC 15% / CBD 10% 
Blueberry Lambsbread, hybrid, THC 16% 
Sour Flower, hybrid, THC 23% 
Blueberry Pancakes, indica, THC 20% 
Booger, hybrid, THC 24% 
Brainstorm Haze, sativa, THC 23% 
Gorilla OG, indica, THC 22% 
Colorado Bubba, indica, THC 27% 
Confidential Cheese, indica, THC 21% 
Crater Lake, hybrid, THC 17% 
Pink Sunset, indica, THC 27% 
Pestilence, indica, THC 22% 
Bugatti OG, hybrid, THC 33% / CBD 1% 
Pink Mango, sativa, THC 21% 
Silver Cindy, sativa, THC 19% 
Six Shooter, hybrid, THC 25% 
Snow Leopard, indica, THC 30% 
Purple Tonic, indica, THC 23% 
Panama Punch, sativa, THC 23% 
Snowcap, hybrid, THC 24% / CBD 4% 
P-51, indica, THC 23% 
Purple Linda, indica, THC 16% 
Betty Boo, indica, THC 16% 
Blue Champagne, sativa, THC 25% / CBD 1% 
Purple Nepal, indica, THC 25% 
Glass Slipper, sativa, THC 25% 
Albert Walker, indica, THC 15% 
Plushberry, hybrid, THC 20% / CBD 0% 
Appleberry, indica, THC 20% 
Big Bang, indica, THC 19% 
William's Wonder, indica, THC 21% 
Lowryder, sativa, THC 14% 
Master Jedi, hybrid, THC 25% 
Punky Lion, indica, THC 19% / CBD 1% 
Flowerbomb Kush, sativa, THC 19% 
Apollo Haze, sativa, THC 20% 
Y Griega, sativa, THC 27% 
Cannalope Haze, sativa, THC 20% 
Exile, indica, THC 18% 
Blue Dynamite, indica, THC 18% 
Purple Tide, hybrid, THC 25% 
Mace Windu, indica, THC 16% 
BC Roadkill, indica, THC 25% 
Purple Rhino, indica, THC 20% / CBD 1% 
Sand Storm, indica, THC 16% 
Gobbstopper, hybrid, THC 21% 
3x Crazy, hybrid, THC 23% 
Twilight, indica, THC 21% 
Narnia, sativa, THC 25% 
Boy Scout Cookies, hybrid, THC 24% 
Blue OG, indica, THC 19% 
Space Needle, sativa, THC 20% 
Mad Scientist, indica, THC 24% 
Bay 11, sativa, THC 25% 
Atomic Northern Lights, indica, THC 24% 
Kona Gold, sativa, THC 15% 
Lemon Drop, sativa, THC 23% 
24K Gold, indica, THC 24% 
Snow Lotus, indica, THC 25% 
Haze Berry, sativa, THC 22% 
Candy Cane, indica, THC 20% 
Blue Diamond, indica, THC 24% / CBD 1% 
Dog Shit, sativa, THC 26% 
Blue Thai, hybrid, THC 21% 
Emerald Jack, sativa, THC 20% 
Chem Willie, sativa, THC 31% 
Locomotion, indica, THC 23% 
Pure Kush, indica, THC 24% 
Shark's Breath, indica, THC 26% 
Slimer OG, indica, THC 23% 
Medical 49, indica, THC 8% / CBD 8% 
SeattleSoda, hybrid, THC 0% 
Red Haze, sativa, THC 22% 
Princess's Tiara, hybrid, THC 22% 
Sequoia Strawberry, sativa, THC 23% 
Purple Paralysis, sativa, THC 22% 
Slazerbeam, sativa, THC 22% 
Champagne Diesel, sativa, THC 23% / CBD 1% 
Chem Beyond Diesel CBD, indica, THC 12% / CBD 15% 
Congo, sativa, THC 20% 
Mr Tusk, indica, THC 22% 
Mother Tongue, sativa, THC 18% 
PVC OG, hybrid, THC 20% 
City of God, indica, THC 33% 
Gemstone, hybrid, THC 21% 
Dragon OG, sativa, THC 28% 
Dutch Haze, sativa, THC 27% 
Dr. Quantum, indica, THC 27% 
Mission Kush, sativa, THC 24% 
Waldo, sativa, THC 19% 
Red Velvet Pie, hybrid, THC 20% / CBD 1% 
Rocky Mountain High, indica, THC 20% / CBD 2% 
Purple Pinecone, indica, THC 18% 
OCD, sativa, THC 0% 
Oregon Pinot Noir, sativa, THC 28% 
Sapphire Scout, hybrid, THC 30% 
Nice Cherry, indica, THC 21% 
South Indian Indica, indica, THC 12% 
Alchemy, hybrid, THC 22% / CBD 8% 
Eldorado, sativa, THC 20% 
Mango Dream, hybrid, THC 23% 
The Cough, sativa, THC 22% 
Royal Chemdawg, indica, THC 25% 
Medibud, indica, THC 17% / CBD 1% 
Grand Hindu, indica, THC 30% 
Critical Hog, hybrid, THC 19% 
Kings Kush, indica, THC 20% 
Cherry Pie Kush, sativa, THC 21% 
White Dragon, indica, THC 22% 
Afternoon Delight, sativa, THC 18% 
Critical Sensi Star, indica, THC 21% 
Schrom, sativa, THC 18% 
Rollex OG Kush, indica, THC 23% 
SinMint Cookies, indica, THC 16% 
Rockstar Master Kush, indica, THC 15% / CBD 1% 
Pineapple Dog Shit, sativa, THC 26% 
Four way, indica, THC 20% 
Buffalo Bill, sativa, THC 28% 
Avi, hybrid, THC 5% / CBD 10% 
Fat Albert, indica, THC 22% 
Star Tonic, hybrid, THC 11% / CBD 16% 
Black Dahlia, indica, THC 15% 
BSC, hybrid, THC 23% 
El-Na, indica, THC 10% 
Blue Treat, indica, THC 22% 
Diesel Duff, sativa, THC 17% 
Wally OG, hybrid, THC 25% 
Domino, indica, THC 15% 
Dr. Funk, indica, THC 22% 
Dream Police, hybrid, THC 18% 
303 OG, indica, THC 26% 
Bloodhound, indica, THC 24% 
Space Dawg, indica, THC 23% 
Night Terror OG, indica, THC 21% 
13 Dawgs, hybrid, THC 19% 
Allkush, indica, THC 18% 
Venice OG, sativa, THC 26% 
Blue Persuasion, hybrid, THC 26% 
LAPD, hybrid, THC 26% 
Whiteout, hybrid, THC 19% 
Twista, hybrid, THC 22% 
White Cookies, indica, THC 20% 
Enemy of the State, indica, THC 14% 
Crystal Coma, sativa, THC 30% 
Super Skunk, indica, THC 28% 
Apple Fritter, hybrid, THC 32% 
Sage N Sour, sativa, THC 19% 
Loud, hybrid, THC 28% 
Orange Creamsicle, sativa, THC 18% 
Afgooey, indica, THC 20% 
Tahoe Alien, indica, THC 29% / CBD 4% 
Tangerine, hybrid, THC 18% / CBD 2% 
LA Kush, indica, THC 21% 
Gorilla Glue #5, indica, THC 28% 
True OG, hybrid, THC 24% 
Yoda OG, indica, THC 22% 
Shark Shock, indica, THC 20% 
Lemon G, sativa, THC 23% 
Cannatonic, hybrid, THC 6% / CBD 17% 
Money Maker, indica, THC 23% 
Critical Kush, indica, THC 29% 
Lemon OG, indica, THC 24% / CBD 0% 
White Nightmare, sativa, THC 22% 
Black Cherry Soda, hybrid, THC 30% 
Pennywise, indica, THC 15% / CBD 15% 
Snoop Dogg OG, indica, THC 28% / CBD 1% 
Hollands Hope, indica, THC 18% 
Critical Haze, hybrid, THC 21% 
Night Nurse, indica, THC 21% 
Sweet Tooth, indica, THC 19% 
Dominator, sativa, THC 16% 
Midnight, sativa, THC 13% / CBD 13% 
Purple Wreck, indica, THC 31% 
Garlic Bud, indica, THC 20% 
Exodus Cheese, hybrid, THC 18% 
Cherry Diesel, hybrid, THC 19% 
Cookies Kush, indica, THC 18% / CBD 3% 
Dream Queen, sativa, THC 19% 
Willie Cheesie, hybrid, THC 20% 
Black Mamba, indica, THC 25% 
Alien Rift, indica, THC 24% 
Bio Chem, indica, THC 25% 
Nebula, indica, THC 18% 
Maple Leaf Indica, indica, THC 18% 
Purple Aurora, indica, THC 20% / CBD 2% 
White Buffalo, sativa, THC 25% 
Love Potion #1, sativa, THC 18% 
Jamaican, sativa, THC 21% 
Blue Mango, indica, THC 18% 
Robert Plant, sativa, THC 18% / CBD 2% 
Strawberry Lemonade, hybrid, THC 28% 
River Song, indica, THC 25% 
Lightstorm, indica, THC 16% 
Humboldt, hybrid, THC 25% 
Magnum, hybrid, THC 15% 
Frosty, indica, THC 22% / CBD 2% 
Red Eye OG, indica, THC 28% 
Tangerine Power, sativa, THC 25% 
Sugar Punch, hybrid, THC 24% 
Starbud, indica, THC 20% 
Tangerine Haze, sativa, THC 21% 
Jacky White, sativa, THC 18% 
G Force, indica, THC 26% 
8 Ball Kush, indica, THC 18% / CBD 5% 
Superman OG, indica, THC 18% 
Blue Ox, indica, THC 16% 
Blackberry Fire, indica, THC 25% 
Big Bomb, hybrid, THC 18% 
Black Cherry Pie, hybrid, THC 26% 
Satellite OG, indica, THC 24% 
Oregon Pineapple, sativa, THC 20% 
Gas, indica, THC 21% 
Ginger Punch, sativa, THC 15% 
Skywalker, hybrid, THC 15% 
Blueberry, indica, THC 24% 
AK-47, sativa, THC 20% 
Orange Bud, indica, THC 17% 
Afghan Kush, indica, THC 17% 
Purple Kush, indica, THC 27% 
Berry White, indica, THC 22% 
Lemon Skunk, sativa, THC 22% 
Amnesia Haze, sativa, THC 25% 
LSD, indica, THC 24% 
Jager, indica, THC 23% 
Acapulco Gold, sativa, THC 23% 
Kosher Kush, indica, THC 20% 
Sensi Star, indica, THC 20% 
Candyland, sativa, THC 19% 
Lamb's Bread, sativa, THC 17% 
Maui Waui, sativa, THC 19% 
Chernobyl, sativa, THC 22% 
Banana Kush, indica, THC 18% 
Lemon Haze, sativa, THC 25% 
Pink Kush, indica, THC 22% 
Tahoe OG, hybrid, THC 21% 
Fire OG Kush, indica, THC 20% / CBD 0% 
ACDC, hybrid, THC 6% / CBD 20% 
Hellfire OG, hybrid, THC 29% 
Legend OG, indica, THC 25% 
Martian Mean Green, sativa, THC 22% 
Hibiscus Sunrise, indica, THC 26% 
Highwayman, hybrid, THC 21% 
Mendo Queen, sativa, THC 0% 
Hurkle, indica, THC 12% / CBD 12% 
Biohazard, hybrid,  
Arjan's Haze, sativa, THC 22% 
East Coast Alien, sativa, THC 20% 
Sherblato, sativa, THC 22% 
Scout's Honor, indica, THC 32% 
Zeitgeist, hybrid,  
Deep Purple, indica, THC 19% 
Tropicana, sativa, THC 17% 
Mojito, sativa, THC 24% 
Slurricane, indica, THC 28% 
Satsuma, hybrid, THC 26% 
North Indian, indica, THC 0% 
Ken's Kush, indica, THC 20% 
Kerala Krush, sativa, THC 22% 
Silver Bubble, hybrid, THC 20% 
Karma Bitch, hybrid, THC 20% 
Katsu Kush, indica, THC 11% / CBD 11% 
White Romulan, hybrid, THC 22% / CBD 1% 
3D CBD, sativa, THC 8% / CBD 18% 
501st OG, indica, THC 29% / CBD 1% 
AK-48, indica, THC 20% / CBD 1% 
Alien Hallucination, hybrid, THC 24% 
Skunk Dawg, sativa, THC 24% 
Primus, indica, THC 30% 
Atomical Haze, sativa, THC 18% 
Avidekel, indica, THC 2% / CBD 18% 
Black Label Kush, indica, THC 25% / CBD 1% 
Sunset Haze, hybrid, THC 17% 
Pokie, indica, THC 24% 
Brooklyn Mango, hybrid, THC 21% 
Bubble Cheese, indica, THC 18% 
Buddha Tahoe, indica, THC 20% 
Snow Mountain, indica, THC 23% 
Pop Rox, indica, THC 20% 
Predator Pink, indica, THC 17% 
Purple Sage, indica, THC 24% 
Buddha's Hand, sativa, THC 16% 
Buddha's Sister, indica, THC 22% 
Blackberry Chem OG, indica, THC 33% 
Blackberry Rhino, hybrid, THC 17% / CBD 1% 
