Strain, Type, Content 
Valley Girl, hybrid, THC 31% 
Chiesel, hybrid, THC 18% 
Cataract Kush, indica, THC 25% 
Mango Tango, indica, THC 26% 
Loud Scout, indica, THC 23% 
Blue Heron, indica, THC 19% / CBD 1% 
Big Smooth, indica, THC 26% 
Super Kush, hybrid, THC 22% 
Strawberry Ice, sativa, THC 21% 
White Kush, indica, THC 29% 
Donkey Butter, indica, THC 27% 
Alien Technology, indica, THC 19% 
Fortune Cookies, sativa, THC 24% 
Bright Fire, indica, THC 25% 
Raspberry Cough, sativa, THC 24% 
Bell Ringer, indica, THC 25% 
Pink Bubba, indica, THC 23% 
Tropical Tang, sativa, THC 22% 
White Walker OG, hybrid, THC 22% 
OG Cheese, indica, THC 18% 
California Hash Plant, indica, THC 12% / CBD 5% 
Bright Moments, hybrid, THC 26% 
Megalodon, sativa, THC 23% 
Fire Haze, sativa, THC 20% 
Hell's Angel OG, indica, THC 20% 
Edelweiss, indica, THC 21% 
Sweet Kush, hybrid, THC 18% 
Rare Darkness, indica, THC 26% 
Aceh, sativa, THC 10% 
Anonymous OG, indica, THC 20% 
Sunburn, sativa, THC 24% 
Blue Nightmare, hybrid, THC 19% 
Spliffs Strawberry, sativa, THC 22% 
Millennium, indica, THC 20% 
Outlaw, sativa, THC 17% 
G13 Haze, indica, THC 24% / CBD 1% 
Oracle, hybrid, THC 1% / CBD 14% 
Yummy, indica, THC 3% / CBD 9% 
DarkStar, indica, THC 16% 
Boysenberry, hybrid, THC 21% 
Cali Gold, indica, THC 21% 
Blue Alien, indica, THC 21% 
Sour Tsunami, sativa, THC 10% / CBD 13% 
Bianca, sativa, THC 20% 
Zeus OG, sativa, THC 23% 
Irish Cream, indica, THC 20% 
Perfect Purple, hybrid, THC 0% 
Iron Triangle, hybrid, THC 28% 
Blackberry Haze, sativa, THC 24% 
Aurora Borealis, hybrid, THC 22% 
Black 84, indica, THC 25% / CBD 1% 
Phantom Arrow, indica, THC 28% 
Dream Girl, hybrid, THC 22% 
Lemon Ice, sativa, THC 23% 
Princess, sativa, THC 0% 
White Slipper, sativa, THC 0% 
Brandywine, indica, THC 31% 
Crazy Miss Hyde, indica, THC 21% / CBD 1% 
Island Haze, sativa, THC 24% 
Double Barrel OG, hybrid, THC 20% 
Sweet Dreams, hybrid, THC 24% 
Special K, hybrid, THC 24% 
Sour Amnesia, sativa, THC 22% 
Animal Blues, indica, THC 23% 
Earthquake, hybrid, THC 23% 
Afghan Diesel, hybrid, THC 23% 
Cherry Fire, hybrid, THC 25% 
Chem Jack, sativa, THC 27% 
CBD OG, indica, THC 7% / CBD 10% 
Jack Smack, hybrid,  
$100 OG Kush, hybrid, THC 25% 
Candy Jack, sativa, THC 27% / CBD 1% 
Herijuana, indica, THC 32% 
Green Goblin, sativa, THC 24% / CBD 1% 
Alien Kush, indica, THC 19% 
Ginger Ale, hybrid, THC 25% 
Gelato #33, indica, THC 25% 
Gigabud, indica, THC 19% 
Ambrosia, hybrid, THC 16% 
F.O.G., sativa, THC 21% 
Carnival, sativa, THC 23% 
Kryptonite, indica, THC 27% 
Highlands, indica, THC 27% 
Kilimanjaro, sativa, THC 18% 
Queso, hybrid, THC 16% 
Custard Cream, indica, THC 20% 
Green Queen, hybrid, THC 20% 
Chocolate Haze, sativa, THC 17% 
Pot of Gold, indica, THC 21% 
Orange Blossom, indica, THC 24% 
Peppermint Cookies, hybrid, THC 24% 
Blue Magoo, indica, THC 21% 
Frankenstein, indica, THC 29% 
